ensembl,pathways
ENSP00000343838,"['hsa00040', 'hsa00053', 'hsa00140', 'hsa00830', 'hsa00860', 'hsa00980', 'hsa00982', 'hsa00983']"
ENSP00000002125,unknown
ENSP00000360492,['hsa00190']
ENSP00000354687,unknown
ENSP00000301457,unknown
ENSP00000350353,unknown
ENSP00000362060,['hsa00190']
ENSP00000215565,['hsa00190']
ENSP00000252711,['hsa00190']
ENSP00000270517,['hsa04010']
ENSP00000233627,['hsa00190']
ENSP00000417142,['hsa00190']
ENSP00000356972,['hsa00190']
ENSP00000263774,['hsa00190']
ENSP00000258955,unknown
ENSP00000371586,unknown
ENSP00000330737,['hsa00190']
ENSP00000360593,unknown
ENSP00000362873,['hsa00190']
ENSP00000354961,unknown
ENSP00000423673,['hsa00190']
ENSP00000418438,['hsa00190']
ENSP00000315774,['hsa00190']
ENSP00000355046,unknown
ENSP00000369176,['hsa00190']
ENSP00000285871,unknown
ENSP00000392709,['hsa00190']
ENSP00000327268,['hsa00190']
ENSP00000276689,['hsa00190']
ENSP00000296597,unknown
ENSP00000257770,"['hsa00230', 'hsa00240', 'hsa00760']"
ENSP00000354813,unknown
ENSP00000441126,['hsa00190']
ENSP00000296684,['hsa00190']
ENSP00000266544,['hsa00190']
ENSP00000319851,['hsa00260']
ENSP00000368793,unknown
ENSP00000361616,unknown
ENSP00000419087,['hsa00190']
ENSP00000370718,unknown
ENSP00000184266,['hsa00190']
ENSP00000330787,['hsa00190']
ENSP00000357199,unknown
ENSP00000263578,unknown
ENSP00000346196,['hsa00190']
ENSP00000356978,['hsa00860']
ENSP00000384223,unknown
ENSP00000299166,['hsa00190']
ENSP00000276062,unknown
ENSP00000252102,['hsa00190']
ENSP00000281081,unknown
ENSP00000259037,['hsa00190']
ENSP00000379430,unknown
ENSP00000418803,unknown
ENSP00000357829,unknown
ENSP00000268668,['hsa00190']
ENSP00000323076,unknown
ENSP00000418842,['hsa00190']
ENSP00000281031,['hsa00190']
ENSP00000274137,['hsa00190']
ENSP00000458770,['hsa00190']
ENSP00000354665,unknown
ENSP00000355206,unknown
ENSP00000351737,unknown
ENSP00000333934,unknown
ENSP00000354920,unknown
ENSP00000322450,['hsa00190']
ENSP00000389160,['hsa00190']
ENSP00000318986,unknown
ENSP00000350874,unknown
