ensembl,gene_exp,Affinity,Class,disease_score,disgenet_score,pathways,kinaseness
ENSP00000156109,0.0,0.0,0.0,0.0,0.0,unknown,1.0
ENSP00000156471,0.0,0.0,0.0,0.0,0.0,['hsa03040'],1.0
ENSP00000156626,0.0,0.0,0.0,0.0,0.0,['hsa00512'],1.0
ENSP00000157600,0.0,0.0,0.0,0.0,0.0,unknown,1.0
ENSP00000157812,0.0,0.0,0.0,0.0,0.0,['hsa03050'],1.0
ENSP00000158009,0.0,0.0,0.0,0.0,0.0,unknown,1.0
ENSP00000158166,0.0,4.95912472,0.0,0.0,0.0,unknown,2.0
ENSP00000158762,0.0,0.0,0.0,0.0,0.0,['hsa04144'],1.0
ENSP00000158771,0.0,0.0,0.0,0.0,0.0,['hsa04141'],1.0
ENSP00000159060,0.0,0.0,0.0,0.0,0.0,unknown,1.0
ENSP00000159087,0.0,0.0,0.0,0.0,0.0,unknown,1.0
ENSP00000159111,0.0,0.0,0.0,0.0,0.0,unknown,1.0
ENSP00000160262,0.0,0.0,0.0,0.0,0.0,['hsa04514'],1.0
ENSP00000160373,0.0,0.0,0.0,0.0,0.0,unknown,1.0
ENSP00000160382,0.0,0.0,0.0,0.0,0.0,unknown,1.0
ENSP00000160827,0.0,0.0,0.0,0.0,0.0,['hsa04914'],1.0
ENSP00000161006,0.0,0.0,0.0,0.0,0.0,unknown,1.0
ENSP00000161559,0.0,0.0,0.0,0.0,0.0,unknown,1.0
ENSP00000161863,0.0,0.0,0.0,0.0,0.0,unknown,1.0
ENSP00000162044,0.0,0.0,0.0,0.0,0.0,unknown,1.0
ENSP00000162391,0.0,0.0,0.0,0.0,0.0,unknown,1.0
ENSP00000162749,0.0,0.0,0.0,0.0,0.0,"['hsa04010', 'hsa04060', 'hsa04061', 'hsa04064', 'hsa04071', 'hsa04150', 'hsa04210', 'hsa04217', 'hsa04668', 'hsa04920']",1.0
ENSP00000163416,0.0,0.0,0.0,0.0,0.0,unknown,1.0
ENSP00000164024,0.0,0.0,0.0,0.0,0.0,unknown,1.0
ENSP00000164133,0.0,0.0,0.0,0.0,0.0,"['hsa03015', 'hsa04071', 'hsa04114', 'hsa04151', 'hsa04152']",1.0
ENSP00000164139,0.0,0.0,0.0,0.0,0.0,"['hsa00500', 'hsa04217', 'hsa04910', 'hsa04922']",1.0
ENSP00000164227,0.0,0.0,0.0,0.0,0.0,"['hsa04625', 'hsa04668']",1.0
ENSP00000164305,0.0,0.0,0.0,0.0,0.0,['hsa00563'],1.0
ENSP00000164640,0.0,0.0,0.0,0.0,0.0,unknown,1.0
ENSP00000165524,0.0,0.0,0.0,0.0,0.0,['hsa04080'],1.0
ENSP00000166139,1.0,0.0,0.0,0.0,0.0,unknown,1.0
ENSP00000166244,0.0,5.607795562000001,0.0,0.0,0.0,unknown,2.0
ENSP00000166345,1.0,0.0,0.0,0.0,0.0,unknown,1.0
ENSP00000167106,0.0,0.0,0.0,0.0,0.0,unknown,1.0
ENSP00000167586,0.0,0.0,0.0,0.0,0.0,['hsa04915'],1.0
ENSP00000167588,0.0,0.0,0.0,2.051,0.01,['hsa04915'],1.0
ENSP00000168148,0.0,0.0,0.0,0.0,0.0,unknown,1.0
ENSP00000168216,0.0,0.0,0.0,0.0,0.0,['hsa00280'],1.0
ENSP00000168712,0.0,0.0,0.0,0.0,0.0,"['hsa04010', 'hsa04014', 'hsa04015', 'hsa04151']",1.0
ENSP00000169298,0.0,0.0,0.0,0.0,0.0,"['hsa00510', 'hsa00514']",1.0
ENSP00000169551,0.0,0.0,0.0,0.0,0.0,unknown,1.0
ENSP00000170150,0.0,0.0,0.0,0.0,0.0,unknown,1.0
ENSP00000170168,0.0,0.0,0.0,0.0,0.0,['hsa03008'],1.0
ENSP00000170447,0.0,0.0,0.0,0.0,0.0,unknown,1.0
ENSP00000170564,0.0,0.0,0.0,0.0,0.0,unknown,1.0
ENSP00000171111,0.0,0.0,0.0,1.467,0.4,['hsa04120'],1.0
ENSP00000171757,0.0,0.0,0.0,0.0,0.0,['hsa04080'],1.0
ENSP00000171887,0.0,0.0,0.0,0.0,0.0,unknown,1.0
ENSP00000172229,0.0,0.0,0.0,0.0,0.0,"['hsa04010', 'hsa04014', 'hsa04015', 'hsa04060', 'hsa04151']",1.0
ENSP00000173229,0.0,0.0,0.0,0.0,0.0,unknown,1.0
ENSP00000173527,0.0,0.0,0.0,0.0,0.0,unknown,1.0
ENSP00000173898,0.0,0.0,0.0,0.0,0.0,unknown,1.0
ENSP00000174618,0.0,0.0,0.0,0.0,0.0,unknown,1.0
ENSP00000175091,0.0,0.0,0.0,0.0,0.0,['hsa04142'],1.0
ENSP00000175238,0.0,0.0,0.0,0.0,0.0,unknown,1.0
ENSP00000175506,0.0,0.0,0.0,0.0,0.0,['hsa00250'],1.0
ENSP00000175756,0.0,0.0,0.0,0.0,0.0,unknown,1.0
ENSP00000176183,0.0,0.0,0.0,0.0,0.0,['hsa04080'],1.0
ENSP00000176195,0.0,0.0,0.0,0.0,0.0,['hsa04080'],1.0
ENSP00000176763,0.0,4.725365201000001,0.0,0.0,0.0,['hsa04914'],1.0
